24-08-20 06:54:56:496 24-08-20 06:54:56 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 06:55:06:496 24-08-20 06:55:06 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 06:55:07:496 24-08-20 06:55:07 STATECHANGE DWELL_DONE HEATING
24-08-20 06:55:27:496 24-08-20 06:55:27 STATECHANGE HEATING DECAY
24-08-20 06:55:37:496 24-08-20 06:55:37 STATECHANGE DECAY POST_MEASURE
24-08-20 07:06:34:495 24-08-20 07:06:34 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 07:11:09:499 24-08-20 07:11:09 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 07:11:10:495 24-08-20 07:11:10 STATECHANGE AT_DEPTH AT_REST
24-08-20 07:11:11:495 24-08-20 07:11:11 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 07:11:21:495 24-08-20 07:11:21 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 07:11:22:496 24-08-20 07:11:22 STATECHANGE DWELL_DONE HEATING
24-08-20 07:11:42:495 24-08-20 07:11:42 STATECHANGE HEATING DECAY
24-08-20 07:11:52:495 24-08-20 07:11:52 STATECHANGE DECAY POST_MEASURE
24-08-20 07:23:14:496 24-08-20 07:23:14 STATECHANGE POST_MEASURE OUT_ABOVE_RESET
24-08-20 07:27:39:495 24-08-20 07:27:39 STATECHANGE OUT_ABOVE_RESET AT_DEPTH
24-08-20 07:27:40:495 24-08-20 07:27:40 STATECHANGE AT_DEPTH AT_REST
24-08-20 07:27:41:499 24-08-20 07:27:41 STATECHANGE AT_REST IN_FOR_MEASURMENT
24-08-20 07:27:51:495 24-08-20 07:27:51 STATECHANGE IN_FOR_MEASURMENT DWELL_DONE
24-08-20 07:27:52:496 24-08-20 07:27:52 STATECHANGE DWELL_DONE HEATING
24-08-20 07:28:12:495 24-08-20 07:28:12 STATECHANGE HEATING DECAY
24-08-20 07:28:22:496 24-08-20 07:28:22 STATECHANGE DECAY POST_MEASURE
